,year,wavgwRC+,medianwRC+
0,1962.0,83.75355819847923,73.0
1,1963.0,81.6243624561171,69.0
2,1964.0,89.82744334944447,77.0
3,1965.0,81.57109275730622,76.0
4,1966.0,83.7411534223093,74.5
5,1967.0,75.71204681509383,69.0
6,1968.0,72.08528381219342,59.0
7,1969.0,79.57623894715196,72.0
8,1970.0,76.99302885847557,60.0
9,1971.0,70.03175900201558,67.0
10,1972.0,71.28998056193674,62.0
11,1973.0,65.60172258500337,62.0
12,1974.0,75.38273413727038,68.5
13,1975.0,71.9848493643699,58.0
14,1976.0,80.4890422778257,75.0
15,1977.0,68.76677364356634,60.0
16,1978.0,79.43356643356643,72.5
17,1979.0,73.31259910992891,68.5
18,1980.0,76.23041729512317,65.5
19,1981.0,77.11119905025723,62.5
20,1982.0,79.82198202172833,64.0
21,1983.0,81.39392373669527,66.0
22,1984.0,74.71886772708244,62.0
23,1985.0,81.22496592219777,75.0
24,1986.0,79.6398152378052,63.0
25,1987.0,79.898332699723,67.0
26,1988.0,85.15504246284502,73.5
27,1989.0,81.64579148252311,79.0
28,1990.0,80.44153638679389,71.0
29,1991.0,83.65300811348676,64.0
30,1992.0,84.08407541913336,71.0
31,1993.0,86.28867883995703,75.0
32,1994.0,81.91276126184603,80.5
33,1995.0,80.31087023213007,75.0
34,1996.0,83.11334425090564,83.0
35,1997.0,81.5110601879998,76.0
36,1998.0,82.99766809172172,72.0
37,1999.0,83.57522009877604,67.5
38,2000.0,84.09754881595347,69.0
39,2001.0,85.8762390373241,77.5
40,2002.0,87.90495249824068,75.0
41,2003.0,84.633626097867,76.5
42,2004.0,86.12889352274209,76.0
43,2005.0,88.36325653091026,73.0
44,2006.0,85.76634717784877,68.0
45,2007.0,90.01491283343833,76.0
46,2008.0,87.76803183551651,81.0
47,2009.0,86.31603549358262,72.0
48,2010.0,83.4919982082502,78.0
49,2011.0,87.24751258572165,75.0
50,2012.0,86.81680260322022,75.0
51,2013.0,85.6002672010688,77.5
52,2014.0,87.6669001138055,80.0
53,2015.0,85.34597346911431,78.0
54,2016.0,92.72143135303534,84.0
55,2017.0,87.95040378842332,76.0
56,2018.0,95.08091761351362,85.0
57,2019.0,98.0629157650076,88.0
58,2020.0,100.66082573211713,93.5
59,2021.0,97.91771756773629,90.0
60,2022.0,93.67335782776236,82.5
